ID;STATE;GENDER;RESIDENTIAL;CLASS_BMI;AGE;WEIGHT_kg;HEIGHT_cm;BMI_kg_m2;POWER_cm;FLEXIBILITY_cm;COORDINATION_no;SPEED_sec
44;JOHOR;F;RURAL;OVERWEIGHT;7,1;26,0;120,0;18,1;81,0;31,0;2,0;4,8
45;JOHOR;F;URBAN;NORMAL;7;19,0;116,0;14,1;93,0;31,5;4,0;5,6
46;JOHOR;F;RURAL;OBESITY;7,1;43,0;124,0;28,0;99,0;34,0;4,0;6,7
47;JOHOR;F;RURAL;NORMAL;7;19,2;105,8;17,1;83,0;34,5;1,0;4,5
48;JOHOR;F;URBAN;NORMAL;7;22,0;119,0;15,5;82,0;26,0;6,0;5,0
49;JOHOR;F;URBAN;NORMAL;7,1;18,5;118,0;13,3;102,0;26,0;1,0;5,0
50;JOHOR;F;URBAN;NORMAL;7,1;18,4;113,0;14,4;107,0;28,5;2,0;5,7
51;JOHOR;F;URBAN;OBESITY;7,1;29,0;120,0;20,1;101,0;29,0;1,0;5,2
52;JOHOR;F;URBAN;NORMAL;7;17,0;103,0;16,0;85,0;21,0;8,0;5,0
53;JOHOR;F;URBAN;THINNESS;7,1;17,0;120,0;11,8;85,0;21,0;4,0;2,8
54;JOHOR;F;URBAN;OVERWEIGHT;7;25,0;118,0;18,0;96,0;27,0;2,0;5,3
55;JOHOR;F;URBAN;NORMAL;7;21,1;121,7;14,2;91,0;27,0;2,0;5,1
56;JOHOR;F;URBAN;NORMAL;7;23,0;127,0;14,3;98,0;21,0;9,0;5,7
57;JOHOR;F;URBAN;NORMAL;7;19,0;121,0;13,0;99,0;20,0;1,0;4,4
58;JOHOR;F;RURAL;OVERWEIGHT;7,1;24,4;115,0;18,4;86,0;26,0;7,0;5,5
59;JOHOR;F;RURAL;NORMAL;7,1;18,0;118,0;12,9;78,0;29,0;4,0;5,3
60;JOHOR;F;URBAN;NORMAL;7;18,0;119,0;12,7;81,0;29,0;8,0;6,0
61;JOHOR;F;URBAN;NORMAL;7;20,7;117,0;15,1;101,0;28,0;1,0;5,5
62;JOHOR;F;URBAN;NORMAL;7;25,3;126,0;15,9;93,0;22,0;1,0;4,1
63;JOHOR;F;RURAL;NORMAL;7,1;22,0;116,0;16,3;108,0;27,0;1,0;5,3
64;JOHOR;F;URBAN;NORMAL;7,1;24,0;129,0;14,4;87,0;28,0;1,0;4,7
65;JOHOR;F;URBAN;OBESITY;7,1;29,5;120,0;20,5;100,0;29,0;1,0;5,4
66;JOHOR;F;RURAL;NORMAL;7;22,0;113,5;17,1;92,0;33,0;2,0;6,1
67;JOHOR;F;URBAN;NORMAL;7,1;23,4;116,5;17,2;87,0;30,0;1,0;5,0
68;JOHOR;F;URBAN;NORMAL;7,1;24,0;123,0;15,9;83,0;32,0;3,0;5,7
69;JOHOR;F;RURAL;NORMAL;7;19,5;111,5;15,7;97,0;28,0;1,0;5,5
70;JOHOR;F;URBAN;NORMAL;7,1;17,8;111,0;14,4;92,0;31,0;1,0;5,4
71;JOHOR;F;URBAN;NORMAL;7,1;18,4;115,5;13,8;103,0;33,5;1,0;6,3
72;JOHOR;F;URBAN;NORMAL;7;24,0;125,0;15,4;75,0;29,5;1,0;5,0
73;JOHOR;F;URBAN;NORMAL;7,1;26,0;123,0;17,2;78,0;23,0;6,0;5,1
74;JOHOR;F;URBAN;NORMAL;7;17,0;111,0;13,8;105,0;28,0;1,0;6,0
75;JOHOR;F;URBAN;NORMAL;7;19,4;114,0;14,9;90,0;24,5;3,0;5,2
76;JOHOR;F;URBAN;NORMAL;7;15,5;110,0;12,8;95,0;29,0;1,0;5,7
77;JOHOR;F;RURAL;NORMAL;7,1;26,0;123,0;17,2;79,0;33,0;1,0;5,4
78;JOHOR;F;URBAN;SEVERE THINNESS;7;17,2;122,0;11,6;93,0;26,0;2,0;5,4
79;JOHOR;F;RURAL;OVERWEIGHT;7,1;23,0;113,0;18,0;92,0;28,5;1,0;5,3
80;JOHOR;F;URBAN;NORMAL;7;18,6;119,0;13,1;93,0;17,0;1,0;4,7
81;JOHOR;F;URBAN;NORMAL;7,1;23,0;121,0;15,7;100,0;25,0;1,0;5,4
82;JOHOR;F;URBAN;NORMAL;7;18,5;119,0;13,1;102,0;23,0;1,0;5,1
83;JOHOR;F;URBAN;NORMAL;7,1;18,0;114,0;13,9;73,0;26,5;5,0;5,4
84;JOHOR;F;RURAL;NORMAL;7,1;17,5;113,8;13,5;74,0;25,0;4,0;5,1
85;JOHOR;F;URBAN;OBESITY;7,1;37,5;122,0;25,2;77,0;28,5;3,0;5,5
86;JOHOR;F;URBAN;NORMAL;7;18,1;113,0;14,2;82,0;31,5;2,0;5,9
87;JOHOR;F;URBAN;NORMAL;7;24,0;121,0;16,4;100,0;19,0;2,0;5,4
88;JOHOR;F;URBAN;NORMAL;7;21,0;121,0;14,3;89,0;29,5;1,0;5,5
89;JOHOR;F;URBAN;NORMAL;7;19,0;115,0;14,4;86,0;24,0;2,0;5,2
90;JOHOR;F;URBAN;OVERWEIGHT;7,1;27,0;124,0;17,6;91,0;26,0;2,0;5,7
91;JOHOR;F;URBAN;NORMAL;7,1;23,0;122,8;15,3;80,0;28,0;1,0;5,3
92;JOHOR;F;URBAN;OBESITY;7;48,0;135,0;26,3;88,0;18,0;6,0;5,6
93;JOHOR;F;URBAN;OBESITY;7,1;40,7;131,0;23,7;92,0;27,0;1,0;5,8
94;JOHOR;F;RURAL;NORMAL;7;20,0;116,0;14,9;87,0;27,0;1,0;5,3
95;JOHOR;F;RURAL;NORMAL;7,1;25,0;121,0;17,1;77,0;27,0;6,0;6,7
96;JOHOR;F;URBAN;NORMAL;7,1;20,0;119,0;14,1;79,0;22,0;8,0;5,8
97;JOHOR;F;URBAN;NORMAL;7;18,0;108,5;15,3;88,0;24,0;1,0;5,3
98;JOHOR;F;URBAN;NORMAL;7;25,1;121,5;17,0;94,0;28,0;1,0;6,7
99;JOHOR;F;URBAN;NORMAL;7,1;23,0;120,5;15,8;82,0;22,0;1,0;4,5
100;JOHOR;F;URBAN;NORMAL;7;23,0;121,0;15,7;84,0;23,5;4,0;5,7
101;JOHOR;F;RURAL;NORMAL;7,1;15,2;109,5;12,7;81,0;18,0;2,0;5,0
102;JOHOR;F;URBAN;NORMAL;7;21,5;121,5;14,6;80,0;32,0;1,0;5,8
103;JOHOR;F;URBAN;OVERWEIGHT;7,1;25,0;120,0;17,4;97,0;25,0;1,0;6,2
104;JOHOR;F;RURAL;NORMAL;7,1;19,0;119,5;13,3;105,0;21,5;1,0;5,6
105;JOHOR;F;URBAN;NORMAL;7;20,6;115,0;15,6;103,0;25,0;1,0;6,2
106;JOHOR;F;URBAN;OVERWEIGHT;7,1;25,0;119,0;17,7;102,0;20,0;1,0;5,9
107;JOHOR;F;URBAN;NORMAL;7,1;21,0;120,0;14,6;79,0;22,0;7,0;6,6
108;JOHOR;F;URBAN;NORMAL;7;20,0;119,0;14,1;85,0;23,0;3,0;5,8
109;JOHOR;F;URBAN;NORMAL;7;24,0;123,0;15,9;96,0;14,0;1,0;5,3
110;JOHOR;F;URBAN;NORMAL;7,1;21,0;116,0;15,6;89,0;20,0;3,0;5,8
111;JOHOR;F;URBAN;NORMAL;7;17,3;116,0;12,9;76,0;26,0;1,0;5,3
112;JOHOR;F;URBAN;NORMAL;7;22,0;121,0;15,0;90,0;23,0;3,0;7,9
113;JOHOR;F;URBAN;NORMAL;7,1;19,0;116,0;14,1;73,0;26,0;4,0;6,9
114;JOHOR;F;URBAN;NORMAL;7;20,0;118,3;14,3;78,0;25,0;1,0;5,5
115;JOHOR;F;URBAN;NORMAL;7,1;23,0;119,0;16,2;54,0;29,0;1,0;5,8
116;JOHOR;F;URBAN;NORMAL;7,1;22,0;121,0;15,0;80,0;24,5;2,0;5,9
117;JOHOR;F;URBAN;NORMAL;7,1;21,0;112,0;16,7;80,0;21,0;2,0;5,5
118;JOHOR;F;URBAN;NORMAL;7;19,0;118,0;13,6;76,0;27,0;2,0;6,9
119;JOHOR;F;URBAN;NORMAL;7,1;22,9;124,0;14,9;82,0;18,0;1,0;5,1
120;JOHOR;F;RURAL;NORMAL;7;21,0;114,5;16,0;81,0;27,5;1,0;6,2
121;JOHOR;F;RURAL;NORMAL;7,1;17,0;114,0;13,1;95,0;13,0;1,0;5,7
122;JOHOR;F;URBAN;NORMAL;7,1;18,5;115,5;13,9;84,0;14,0;3,0;6,0
123;JOHOR;F;URBAN;NORMAL;7,1;19,7;122,5;13,1;83,0;23,0;1,0;5,6
124;JOHOR;F;URBAN;NORMAL;7,1;20,9;118,7;14,8;77,0;28,0;1,0;6,7
125;JOHOR;F;RURAL;OVERWEIGHT;7,1;26,3;121,9;17,7;82,0;21,5;1,0;5,5
126;JOHOR;F;URBAN;OBESITY;7,1;25,7;111,0;20,9;84,0;19,5;1,0;5,8
127;JOHOR;F;URBAN;NORMAL;7,1;21,0;116,0;15,6;71,0;28,0;1,0;6,3
128;JOHOR;F;URBAN;NORMAL;7,1;20,1;118,0;14,4;80,0;26,0;1,0;6,4
129;JOHOR;F;URBAN;NORMAL;7,1;18,4;118,0;13,2;70,0;24,5;1,0;5,6
130;JOHOR;F;URBAN;NORMAL;7;16,9;112,8;13,3;66,0;15,0;5,0;6,8
131;JOHOR;F;URBAN;NORMAL;7,1;21,5;119,1;15,2;78,0;14,5;2,0;5,9
132;JOHOR;F;URBAN;NORMAL;7;23,0;117,3;16,7;65,0;27,5;1,0;6,5
133;JOHOR;F;RURAL;NORMAL;7;17,4;114,0;13,4;77,0;22,0;1,0;6,2
134;KEDAH;F;URBAN;NORMAL;7,1;20,1;116,0;14,9;128,0;34,0;9,0;5,1
135;KEDAH;F;RURAL;THINNESS;7,1;18,0;120,0;12,5;130,0;27,0;9,0;4,1
136;KEDAH;F;URBAN;NORMAL;7;19,0;114,0;14,6;123,0;33,0;4,0;4,2
137;KEDAH;F;URBAN;NORMAL;7;23,0;120,0;16,0;130,0;32,5;4,0;4,5
138;KEDAH;F;URBAN;NORMAL;7;20,0;123,4;13,1;132,0;26,0;8,0;4,8
139;KEDAH;F;RURAL;NORMAL;7,1;26,0;123,5;17,0;100,0;29,0;8,0;4,8
140;KEDAH;F;RURAL;NORMAL;7;17,6;116,0;13,1;104,0;28,0;10,0;5,0
141;KEDAH;F;URBAN;NORMAL;7,1;24,5;126,4;15,3;108,0;26,0;6,0;4,4
142;KEDAH;F;RURAL;NORMAL;7;20,0;112,0;15,9;107,0;32,0;6,0;5,3
143;KEDAH;F;URBAN;OBESITY;7,1;37,9;127,0;23,5;117,0;22,0;10,0;4,9
144;KEDAH;F;URBAN;NORMAL;7;21,0;120,0;14,6;92,0;25,0;10,0;4,4
145;KEDAH;F;RURAL;NORMAL;7,1;25,0;123,0;16,5;112,0;32,0;5,0;5,3
146;KEDAH;F;URBAN;NORMAL;7,1;18,5;116,0;13,7;89,0;28,5;8,0;4,9
147;KEDAH;F;URBAN;THINNESS;7,1;15,0;110,0;12,4;121,0;27,0;3,0;4,8
148;KEDAH;F;RURAL;NORMAL;7,1;21,6;124,0;14,0;104,0;21,0;7,0;4,7
149;KEDAH;F;RURAL;OVERWEIGHT;7,1;27,0;118,0;19,4;107,0;30,0;1,0;4,9
150;KEDAH;F;RURAL;NORMAL;7,1;19,0;112,0;15,1;109,0;30,0;6,0;5,7
151;KEDAH;F;URBAN;NORMAL;7;20,2;116,0;15,0;100,0;35,0;1,0;4,8
152;KEDAH;F;URBAN;NORMAL;7;22,0;117,0;16,1;136,0;27,0;3,0;5,1
153;KEDAH;F;URBAN;NORMAL;7;19,4;109,0;16,3;102,0;15,5;6,0;4,1
154;KEDAH;F;URBAN;NORMAL;7;15,0;106,0;13,3;124,0;24,5;9,0;5,7
155;KEDAH;F;URBAN;THINNESS;7;14,7;109,0;12,4;102,0;25,0;7,0;5,2
156;KEDAH;F;RURAL;NORMAL;7,1;27,5;127,5;16,9;98,0;24,0;7,0;5,0
157;KEDAH;F;RURAL;NORMAL;7,1;16,5;113,0;12,9;101,0;26,0;6,0;5,2
158;KEDAH;F;RURAL;NORMAL;7,1;17,0;109,0;14,3;118,0;27,0;2,0;5,2
159;KEDAH;F;RURAL;NORMAL;7,1;20,0;117,5;14,5;104,0;26,5;3,0;5,2
160;KEDAH;F;RURAL;NORMAL;7,1;24,0;125,0;15,4;108,0;23,0;1,0;4,6
161;KEDAH;F;RURAL;NORMAL;7,1;23,1;116,0;17,2;97,0;25,0;7,0;5,5
162;KEDAH;F;RURAL;THINNESS;7;15,0;109,0;12,6;85,0;24,0;5,0;4,8
163;KEDAH;F;URBAN;NORMAL;7,1;23,5;121,5;15,9;104,0;24,5;1,0;4,7
164;KEDAH;F;RURAL;NORMAL;7,1;18,0;111,5;14,5;98,0;26,0;3,0;5,3
165;KEDAH;F;RURAL;NORMAL;7;19,5;116,5;14,4;108,0;21,5;7,0;5,7
166;KEDAH;F;RURAL;NORMAL;7,1;21,0;124,0;13,7;101,0;23,0;2,0;5,0
167;KEDAH;F;RURAL;NORMAL;7;21,0;121,0;14,3;88,0;32,0;1,0;5,1
168;KEDAH;F;URBAN;NORMAL;7,1;18,9;121,0;12,9;75,0;29,0;4,0;5,1
169;KEDAH;F;URBAN;NORMAL;7;18,5;116,0;13,7;95,0;30,0;1,0;5,2
170;KEDAH;F;RURAL;NORMAL;7,1;16,4;111,0;13,3;83,0;27,5;3,0;5,2
171;KEDAH;F;RURAL;THINNESS;7,1;19,0;123,0;12,6;80,0;25,5;1,0;4,5
172;KEDAH;F;RURAL;NORMAL;7;19,0;109,0;16,0;72,0;26,0;2,0;4,7
173;KEDAH;F;URBAN;NORMAL;7,1;17,0;113,0;13,3;96,0;21,0;3,0;5,2
174;KEDAH;F;RURAL;THINNESS;7;14,0;107,0;12,2;86,0;16,0;4,0;4,9
175;KEDAH;F;RURAL;NORMAL;7,1;26,0;124,7;16,7;89,0;28,0;1,0;5,5
176;KEDAH;F;URBAN;NORMAL;7;19,6;121,0;13,4;75,0;25,5;7,0;5,7
177;KEDAH;F;RURAL;OVERWEIGHT;7,1;30,0;127,0;18,6;86,0;33,0;1,0;5,8
178;KEDAH;F;RURAL;OVERWEIGHT;7,1;28,0;120,0;19,4;73,0;26,0;6,0;5,8
179;KEDAH;F;RURAL;NORMAL;7;23,6;122,0;15,9;83,0;24,5;2,0;5,3
180;KEDAH;F;URBAN;OBESITY;7;33,0;122,0;22,2;72,0;27,0;4,0;6,0
181;KEDAH;F;RURAL;OBESITY;7,1;29,1;117,0;21,3;87,0;28,0;1,0;5,9
182;KEDAH;F;RURAL;NORMAL;7,1;20,0;121,5;13,5;98,0;20,5;2,0;6,0
183;KEDAH;F;RURAL;NORMAL;7,1;19,0;112,0;15,1;95,0;21,0;1,0;5,6
184;KEDAH;F;RURAL;NORMAL;7,1;18,0;111,5;14,5;78,0;25,0;4,0;6,1
185;KEDAH;F;URBAN;THINNESS;7,1;18,0;120,0;12,5;90,0;15,0;2,0;5,6
186;KEDAH;F;URBAN;NORMAL;7;24,8;123,0;16,4;70,0;16,0;6,0;5,7
187;KEDAH;F;RURAL;OBESITY;7,1;29,4;122,0;19,8;70,0;24,0;1,0;6,9
188;KEDAH;F;URBAN;NORMAL;7,1;19,9;121,0;13,6;64,0;13,0;1,0;5,7
189;KEDAH;F;URBAN;NORMAL;7;23,0;118,8;16,3;77,0;17,0;1,0;6,0
190;KELANTAN;F;RURAL;NORMAL;7;20,0;121,0;13,7;106,0;31,0;8,0;4,3
191;KELANTAN;F;RURAL;NORMAL;7;16,5;110,0;13,6;98,0;30,5;8,0;5,0
192;KELANTAN;F;URBAN;OBESITY;7,1;30,0;115,3;22,6;109,0;33,5;5,0;5,2
193;KELANTAN;F;RURAL;NORMAL;7;23,6;118,0;16,9;111,0;30,0;6,0;5,2
194;KELANTAN;F;URBAN;OVERWEIGHT;7;28,0;123,0;18,5;107,0;32,5;10,0;5,8
195;KELANTAN;F;RURAL;OBESITY;7,1;32,0;126,0;20,2;103,0;28,5;9,0;5,3
196;KELANTAN;F;URBAN;NORMAL;7;18,0;115,0;13,6;123,0;27,0;7,0;5,3
197;KELANTAN;F;RURAL;THINNESS;7;17,0;118,0;12,2;95,0;26,5;8,0;4,9
198;KELANTAN;F;RURAL;NORMAL;7;16,0;104,0;14,8;101,0;28,0;10,0;5,5
199;KELANTAN;F;RURAL;NORMAL;7,1;23,9;122,0;16,1;106,0;29,0;2,0;4,8
200;KELANTAN;F;RURAL;NORMAL;7;21,0;118,0;15,1;101,0;29,5;3,0;5,0
201;KELANTAN;F;URBAN;NORMAL;7,1;20,0;118,0;14,4;94,0;37,0;5,0;5,6
202;KELANTAN;F;RURAL;NORMAL;7;21,4;122,0;14,4;95,0;29,0;4,0;5,0
203;KELANTAN;F;URBAN;NORMAL;7;20,0;118,0;14,4;135,0;25,0;2,0;4,9
204;KELANTAN;F;RURAL;NORMAL;7;17,0;111,5;13,7;88,0;28,0;6,0;5,1
205;KELANTAN;F;RURAL;NORMAL;7,1;22,2;117,0;16,2;95,0;29,0;2,0;5,0
206;KELANTAN;F;RURAL;NORMAL;7;23,3;120,5;16,0;91,0;33,0;3,0;5,6
207;KELANTAN;F;URBAN;NORMAL;7;18,4;114,0;14,2;107,0;35,0;1,0;5,6
208;KELANTAN;F;RURAL;NORMAL;7;21,0;114,5;16,0;102,0;28,0;2,0;5,4
209;KELANTAN;F;URBAN;NORMAL;7;19,6;113,2;15,3;106,0;25,0;2,0;5,2
210;KELANTAN;F;RURAL;NORMAL;7,1;23,8;120,0;16,5;92,0;27,0;4,0;5,4
211;KELANTAN;F;URBAN;NORMAL;7;14,9;105,0;13,5;118,0;25,0;5,0;6,1
212;KELANTAN;F;RURAL;NORMAL;7,1;24,0;120,0;16,7;90,0;25,0;1,0;4,4
213;KELANTAN;F;URBAN;NORMAL;7,1;17,6;113,3;13,7;89,0;29,5;1,0;5,4
214;KELANTAN;F;RURAL;OBESITY;7,1;28,0;118,0;20,1;98,0;19,0;1,0;4,7
215;KELANTAN;F;RURAL;NORMAL;7,1;19,0;119,0;13,4;77,0;27,0;1,0;4,5
216;KELANTAN;F;RURAL;NORMAL;7,1;20,1;115,0;15,2;68,0;26,5;3,0;4,8
217;KELANTAN;F;RURAL;NORMAL;7;19,0;121,5;12,9;84,0;26,0;3,0;5,2
218;KELANTAN;F;URBAN;OBESITY;7;29,0;118,0;20,8;90,0;25,0;7,0;6,1
219;KELANTAN;F;RURAL;NORMAL;7;19,0;117,0;13,9;89,0;26,0;1,0;4,9
220;KELANTAN;F;RURAL;NORMAL;7,1;23,0;121,5;15,6;90,0;29,0;1,0;5,6
221;KELANTAN;F;RURAL;OBESITY;7,1;29,0;119,5;20,3;85,0;32,0;1,0;5,8
222;KELANTAN;F;RURAL;NORMAL;7;17,3;115,0;13,1;105,0;23,5;1,0;5,3
223;KELANTAN;F;URBAN;NORMAL;7;22,0;117,5;15,9;86,0;27,0;4,0;5,9
224;KELANTAN;F;URBAN;NORMAL;7,1;24,6;120,0;17,1;71,0;32,0;1,0;5,5
225;KELANTAN;F;RURAL;SEVERE THINNESS;7,1;16,0;118,5;11,4;77,0;31,5;1,0;5,6
226;KELANTAN;F;URBAN;NORMAL;7,1;17,8;114,0;13,7;89,0;19,0;4,0;5,3
227;KELANTAN;F;RURAL;THINNESS;7,1;15,0;110,5;12,3;86,0;30,0;1,0;5,8
228;KELANTAN;F;RURAL;NORMAL;7,1;18,9;114,5;14,4;75,0;28,5;2,0;5,4
229;KELANTAN;F;RURAL;OBESITY;7,1;33,1;127,0;20,5;80,0;25,0;7,0;5,9
230;KELANTAN;F;URBAN;NORMAL;7,1;19,0;117,5;13,8;76,0;28,5;4,0;6,0
231;KELANTAN;F;RURAL;NORMAL;7;19,0;115,0;14,4;68,0;24,5;5,0;5,3
232;KELANTAN;F;RURAL;NORMAL;7;17,0;112,0;13,6;80,0;27,0;2,0;5,5
233;KELANTAN;F;URBAN;NORMAL;7,1;20,6;114,1;15,8;89,0;27,5;1,0;5,5
234;KELANTAN;F;RURAL;OVERWEIGHT;7;27,8;126,5;17,4;68,0;22,0;6,0;5,3
235;KELANTAN;F;URBAN;NORMAL;7;21,0;115,0;15,9;83,0;23,0;1,0;5,0
236;KELANTAN;F;URBAN;NORMAL;7;20,8;121,3;14,1;90,0;25,5;1,0;5,4
237;KELANTAN;F;RURAL;NORMAL;7;26,0;130,0;15,4;81,0;21,0;2,0;5,1
238;KELANTAN;F;RURAL;NORMAL;7,1;21,1;120,0;14,7;67,0;29,0;2,0;6,0
239;KELANTAN;F;RURAL;NORMAL;7,1;20,0;121,0;13,7;80,0;26,0;4,0;9,0
240;KELANTAN;F;RURAL;NORMAL;7,1;20,3;117,0;14,8;77,0;23,0;3,0;5,6
241;KELANTAN;F;URBAN;NORMAL;7;22,0;123,0;14,5;88,0;25,0;1,0;5,7
242;KELANTAN;F;URBAN;NORMAL;7,1;22,0;121,0;15,0;89,0;24,0;1,0;5,7
243;KELANTAN;F;RURAL;NORMAL;7,1;20,8;117,0;15,2;66,0;24,5;1,0;5,1
244;KELANTAN;F;RURAL;THINNESS;7,1;15,0;110,0;12,4;84,0;25,5;1,0;6,4
245;KELANTAN;F;RURAL;NORMAL;7,1;25,0;125,0;16,0;89,0;22,0;1,0;6,4
246;KELANTAN;F;RURAL;THINNESS;7,1;16,4;117,5;11,9;70,0;26,5;1,0;6,3
247;KELANTAN;F;URBAN;OVERWEIGHT;7;34,0;135,0;18,7;63,0;26,0;1,0;6,3
248;KELANTAN;F;URBAN;THINNESS;7,1;17,0;117,0;12,4;61,0;27,0;1,0;10,0
249;KELANTAN;F;RURAL;NORMAL;7;18,0;110,0;14,9;74,0;23,0;1,0;6,1
250;KELANTAN;F;URBAN;NORMAL;7,1;19,0;115,0;14,4;56,0;21,5;1,0;6,9
251;KUALA LUMPUR;F;URBAN;NORMAL;7,1;19,8;116,2;14,7;120,0;31,5;7,0;4,2
252;KUALA LUMPUR;F;URBAN;NORMAL;7,1;17,9;111,5;14,4;117,0;29,0;7,0;4,4
253;KUALA LUMPUR;F;URBAN;NORMAL;7;17,5;116,0;13,0;127,0;28,0;4,0;4,5
254;KUALA LUMPUR;F;URBAN;OBESITY;7,1;40,0;131,0;23,3;100,0;36,5;5,0;5,1
255;KUALA LUMPUR;F;URBAN;NORMAL;7;21,1;120,7;14,5;100,0;31,5;7,0;5,1
256;KUALA LUMPUR;F;URBAN;NORMAL;7;24,0;124,5;15,5;102,0;41,0;10,0;5,9
257;KUALA LUMPUR;F;URBAN;NORMAL;7,1;18,0;119,0;12,7;99,0;31,0;7,0;5,1
258;KUALA LUMPUR;F;URBAN;NORMAL;7,1;17,2;112,0;13,7;112,0;27,5;2,0;4,5
259;KUALA LUMPUR;F;URBAN;NORMAL;7;18,8;116,0;14,0;115,0;30,5;2,0;5,0
260;KUALA LUMPUR;F;URBAN;NORMAL;7;26,6;127,0;16,5;103,0;28,0;5,0;5,1
261;KUALA LUMPUR;F;URBAN;NORMAL;7;22,9;119,0;16,2;102,0;24,0;4,0;4,6
