Id,State,Gender,Residential,Age_years,Weight_kg,Height_cm,BMI_kg_m2,BMI_cat,BroadJump_cm,Speed20m_s,SitReach_cm,HandWallToss_no
24,Johor,F,Urban,7.0,22.0,119.0,15.5,Normal,86,5.0,31,6
25,Johor,F,Urban,7.1,23.0,123.0,15.2,Normal,110,5.0,29,2
26,Johor,F,Urban,7.0,21.0,122.0,14.1,Normal,102,5.0,27,4
27,Johor,F,Rural,7.0,20.5,118.0,14.7,Normal,85,4.9,27,9
28,Johor,F,Urban,7.0,28.9,128.0,17.6,Overweight,93,4.5,30,1
29,Johor,F,Urban,7.1,17.5,118.0,12.6,Thinness,104,5.1,28,3
30,Johor,F,Urban,7.0,21.0,117.0,15.3,Normal,122,4.5,13,4
31,Johor,F,Urban,7.1,21.0,116.0,15.6,Normal,77,4.7,30,5
32,Johor,F,Urban,7.1,23.0,124.0,15.0,Normal,101,4.7,30,1
33,Johor,F,Urban,7.1,21.0,128.0,12.8,Normal,96,5.2,29,4
34,Johor,F,Urban,7.1,25.9,125.0,16.6,Normal,92,4.9,27,4
35,Johor,F,Urban,7.0,17.0,119.5,11.9,Thinness,89,4.7,31,1
36,Johor,F,Urban,7.1,17.9,122.0,12.0,Thinness,96,5.7,29,7
37,Johor,F,Rural,7.0,21.0,120.0,14.6,Normal,102,4.0,25,1
38,Johor,F,Urban,7.0,24.0,120.0,16.7,Normal,79,4.9,26,9
39,Johor,F,Rural,7.0,21.6,119.5,15.1,Normal,97,4.9,23,5
40,Johor,F,Urban,7.0,25.0,127.0,15.5,Normal,95,4.9,31,1
41,Johor,F,Urban,7.0,19.2,112.5,15.2,Normal,86,5.6,29,9
42,Johor,F,Urban,7.0,20.8,126.0,13.1,Normal,105,5.0,29,1
43,Johor,F,Urban,7.1,22.0,121.0,15.0,Normal,95,5.4,30,3
44,Johor,F,Rural,7.1,26.0,120.0,18.1,Overweight,81,4.8,31,2
45,Johor,F,Urban,7.0,19.0,116.0,14.1,Normal,93,5.6,32,4
46,Johor,F,Rural,7.1,43.0,124.0,28.0,Obesity,99,6.7,34,4
47,Johor,F,Rural,7.0,19.2,105.8,17.1,Normal,83,4.5,35,1
48,Johor,F,Urban,7.0,22.0,119.0,15.5,Normal,82,5.0,26,6
49,Johor,F,Urban,7.1,18.5,118.0,13.3,Normal,102,5.0,26,1
50,Johor,F,Urban,7.1,18.4,113.0,14.4,Normal,107,5.7,29,2
51,Johor,F,Urban,7.1,29.0,120.0,20.1,Obesity,101,5.2,29,1
52,Johor,F,Urban,7.0,17.0,103.0,16.0,Normal,85,5.0,21,8
53,Johor,F,Urban,7.1,17.0,120.0,11.8,Thinness,85,2.8,21,4
54,Johor,F,Urban,7.0,25.0,118.0,18.0,Overweight,96,5.3,27,2
55,Johor,F,Urban,7.0,21.1,121.7,14.2,Normal,91,5.1,27,2
56,Johor,F,Urban,7.0,23.0,127.0,14.3,Normal,98,5.7,21,9
57,Johor,F,Urban,7.0,19.0,121.0,13.0,Normal,99,4.4,20,1
58,Johor,F,Rural,7.1,24.4,115.0,18.4,Overweight,86,5.5,26,7
59,Johor,F,Rural,7.1,18.0,118.0,12.9,Normal,78,5.3,29,4
60,Johor,F,Urban,7.0,18.0,119.0,12.7,Normal,81,6.0,29,8
61,Johor,F,Urban,7.0,20.7,117.0,15.1,Normal,101,5.5,28,1
62,Johor,F,Urban,7.0,25.3,126.0,15.9,Normal,93,4.1,22,1
63,Johor,F,Rural,7.1,22.0,116.0,16.3,Normal,108,5.3,27,1
64,Johor,F,Urban,7.1,24.0,129.0,14.4,Normal,87,4.7,28,1
65,Johor,F,Urban,7.1,29.5,120.0,20.5,Obesity,100,5.4,29,1
66,Johor,F,Rural,7.0,22.0,113.5,17.1,Normal,92,6.1,33,2
67,Johor,F,Urban,7.1,23.4,116.5,17.2,Normal,87,5.0,30,1
68,Johor,F,Urban,7.1,24.0,123.0,15.9,Normal,83,5.7,32,3
69,Johor,F,Rural,7.0,19.5,111.5,15.7,Normal,97,5.5,28,1
70,Johor,F,Urban,7.1,17.8,111.0,14.4,Normal,92,5.4,31,1
71,Johor,F,Urban,7.1,18.4,115.5,13.8,Normal,103,6.3,34,1
72,Johor,F,Urban,7.0,24.0,125.0,15.4,Normal,75,5.0,30,1
73,Johor,F,Urban,7.1,26.0,123.0,17.2,Normal,78,5.1,23,6
74,Johor,F,Urban,7.0,17.0,111.0,13.8,Normal,105,6.0,28,1
75,Johor,F,Urban,7.0,19.4,114.0,14.9,Normal,90,5.2,25,3
76,Johor,F,Urban,7.0,15.5,110.0,12.8,Normal,95,5.7,29,1
77,Johor,F,Rural,7.1,26.0,123.0,17.2,Normal,79,5.4,33,1
78,Johor,F,Urban,7.0,17.2,122.0,11.6,Severe thinness,93,5.4,26,2
79,Johor,F,Rural,7.1,23.0,113.0,18.0,Overweight,92,5.3,29,1
80,Johor,F,Urban,7.0,18.6,119.0,13.1,Normal,93,4.7,17,1
81,Johor,F,Urban,7.1,23.0,121.0,15.7,Normal,100,5.4,25,1
82,Johor,F,Urban,7.0,18.5,119.0,13.1,Normal,102,5.1,23,1
83,Johor,F,Urban,7.1,18.0,114.0,13.9,Normal,73,5.4,27,5
84,Johor,F,Rural,7.1,17.5,113.8,13.5,Normal,74,5.1,25,4
85,Johor,F,Urban,7.1,37.5,122.0,25.2,Obesity,77,5.5,29,3
86,Johor,F,Urban,7.0,18.1,113.0,14.2,Normal,82,5.9,32,2
87,Johor,F,Urban,7.0,24.0,121.0,16.4,Normal,100,5.4,19,2
88,Johor,F,Urban,7.0,21.0,121.0,14.3,Normal,89,5.5,30,1
89,Johor,F,Urban,7.0,19.0,115.0,14.4,Normal,86,5.2,24,2
90,Johor,F,Urban,7.1,27.0,124.0,17.6,Overweight,91,5.7,26,2
91,Johor,F,Urban,7.1,23.0,122.8,15.3,Normal,80,5.3,28,1
92,Johor,F,Urban,7.0,48.0,135.0,26.3,Obesity,88,5.6,18,6
93,Johor,F,Urban,7.1,40.7,131.0,23.7,Obesity,92,5.8,27,1
94,Johor,F,Rural,7.0,20.0,116.0,14.9,Normal,87,5.3,27,1
95,Johor,F,Rural,7.1,25.0,121.0,17.1,Normal,77,6.7,27,6
96,Johor,F,Urban,7.1,20.0,119.0,14.1,Normal,79,5.8,22,8
97,Johor,F,Urban,7.0,18.0,108.5,15.3,Normal,88,5.3,24,1
98,Johor,F,Urban,7.0,25.1,121.5,17.0,Normal,94,6.7,28,1
99,Johor,F,Urban,7.1,23.0,120.5,15.8,Normal,82,4.5,22,1
100,Johor,F,Urban,7.0,23.0,121.0,15.7,Normal,84,5.7,24,4
101,Johor,F,Rural,7.1,15.2,109.5,12.7,Normal,81,5.0,18,2
102,Johor,F,Urban,7.0,21.5,121.5,14.6,Normal,80,5.8,32,1
103,Johor,F,Urban,7.1,25.0,120.0,17.4,Overweight,97,6.2,25,1
104,Johor,F,Rural,7.1,19.0,119.5,13.3,Normal,105,5.6,22,1
105,Johor,F,Urban,7.0,20.6,115.0,15.6,Normal,103,6.2,25,1
106,Johor,F,Urban,7.1,25.0,119.0,17.7,Overweight,102,5.9,20,1
107,Johor,F,Urban,7.1,21.0,120.0,14.6,Normal,79,6.6,22,7
108,Johor,F,Urban,7.0,20.0,119.0,14.1,Normal,85,5.8,23,3
109,Johor,F,Urban,7.0,24.0,123.0,15.9,Normal,96,5.3,14,1
110,Johor,F,Urban,7.1,21.0,116.0,15.6,Normal,89,5.8,20,3
111,Johor,F,Urban,7.0,17.3,116.0,12.9,Normal,76,5.3,26,1
112,Johor,F,Urban,7.0,22.0,121.0,15.0,Normal,90,7.9,23,3
113,Johor,F,Urban,7.1,19.0,116.0,14.1,Normal,73,6.9,26,4
114,Johor,F,Urban,7.0,20.0,118.3,14.3,Normal,78,5.5,25,1
115,Johor,F,Urban,7.1,23.0,119.0,16.2,Normal,54,5.8,29,1
116,Johor,F,Urban,7.1,22.0,121.0,15.0,Normal,80,5.9,25,2
117,Johor,F,Urban,7.1,21.0,112.0,16.7,Normal,80,5.5,21,2
118,Johor,F,Urban,7.0,19.0,118.0,13.6,Normal,76,6.9,27,2
119,Johor,F,Urban,7.1,22.9,124.0,14.9,Normal,82,5.1,18,1
120,Johor,F,Rural,7.0,21.0,114.5,16.0,Normal,81,6.2,28,1
121,Johor,F,Rural,7.1,17.0,114.0,13.1,Normal,95,5.7,13,1
122,Johor,F,Urban,7.1,18.5,115.5,13.9,Normal,84,6.0,14,3
123,Johor,F,Urban,7.1,19.7,122.5,13.1,Normal,83,5.6,23,1
124,Johor,F,Urban,7.1,20.9,118.7,14.8,Normal,77,6.7,28,1
125,Johor,F,Rural,7.1,26.3,121.9,17.7,Overweight,82,5.5,22,1
126,Johor,F,Urban,7.1,25.7,111.0,20.9,Obesity,84,5.8,20,1
127,Johor,F,Urban,7.1,21.0,116.0,15.6,Normal,71,6.3,28,1
128,Johor,F,Urban,7.1,20.1,118.0,14.4,Normal,80,6.4,26,1
129,Johor,F,Urban,7.1,18.4,118.0,13.2,Normal,70,5.6,25,1
130,Johor,F,Urban,7.0,16.9,112.8,13.3,Normal,66,6.8,15,5
131,Johor,F,Urban,7.1,21.5,119.1,15.2,Normal,78,5.9,15,2
132,Johor,F,Urban,7.0,23.0,117.3,16.7,Normal,65,6.5,28,1
133,Johor,F,Rural,7.0,17.4,114.0,13.4,Normal,77,6.2,22,1
134,Kedah,F,Urban,7.1,20.1,116.0,14.9,Normal,128,5.1,34,9
135,Kedah,F,Rural,7.1,18.0,120.0,12.5,Thinness,130,4.1,27,9
136,Kedah,F,Urban,7.0,19.0,114.0,14.6,Normal,123,4.2,33,4
137,Kedah,F,Urban,7.0,23.0,120.0,16.0,Normal,130,4.5,33,4
138,Kedah,F,Urban,7.0,20.0,123.4,13.1,Normal,132,4.8,26,8
139,Kedah,F,Rural,7.1,26.0,123.5,17.0,Normal,100,4.8,29,8
140,Kedah,F,Rural,7.0,17.6,116.0,13.1,Normal,104,5.0,28,10
141,Kedah,F,Urban,7.1,24.5,126.4,15.3,Normal,108,4.4,26,6
142,Kedah,F,Rural,7.0,20.0,112.0,15.9,Normal,107,5.3,32,6
143,Kedah,F,Urban,7.1,37.9,127.0,23.5,Obesity,117,4.9,22,10
144,Kedah,F,Urban,7.0,21.0,120.0,14.6,Normal,92,4.4,25,10
145,Kedah,F,Rural,7.1,25.0,123.0,16.5,Normal,112,5.3,32,5
146,Kedah,F,Urban,7.1,18.5,116.0,13.7,Normal,89,4.9,29,8
147,Kedah,F,Urban,7.1,15.0,110.0,12.4,Thinness,121,4.8,27,3
148,Kedah,F,Rural,7.1,21.6,124.0,14.0,Normal,104,4.7,21,7
149,Kedah,F,Rural,7.1,27.0,118.0,19.4,Overweight,107,4.9,30,1
150,Kedah,F,Rural,7.1,19.0,112.0,15.1,Normal,109,5.7,30,6
151,Kedah,F,Urban,7.0,20.2,116.0,15.0,Normal,100,4.8,35,1
152,Kedah,F,Urban,7.0,22.0,117.0,16.1,Normal,136,5.1,27,3
153,Kedah,F,Urban,7.0,19.4,109.0,16.3,Normal,102,4.1,16,6
154,Kedah,F,Urban,7.0,15.0,106.0,13.3,Normal,124,5.7,25,9
155,Kedah,F,Urban,7.0,14.7,109.0,12.4,Thinness,102,5.2,25,7
156,Kedah,F,Rural,7.1,27.5,127.5,16.9,Normal,98,5.0,24,7
157,Kedah,F,Rural,7.1,16.5,113.0,12.9,Normal,101,5.2,26,6
158,Kedah,F,Rural,7.1,17.0,109.0,14.3,Normal,118,5.2,27,2
159,Kedah,F,Rural,7.1,20.0,117.5,14.5,Normal,104,5.2,27,3
160,Kedah,F,Rural,7.1,24.0,125.0,15.4,Normal,108,4.6,23,1
161,Kedah,F,Rural,7.1,23.1,116.0,17.2,Normal,97,5.5,25,7
162,Kedah,F,Rural,7.0,15.0,109.0,12.6,Thinness,85,4.8,24,5
163,Kedah,F,Urban,7.1,23.5,121.5,15.9,Normal,104,4.7,25,1
164,Kedah,F,Rural,7.1,18.0,111.5,14.5,Normal,98,5.3,26,3
165,Kedah,F,Rural,7.0,19.5,116.5,14.4,Normal,108,5.7,22,7
166,Kedah,F,Rural,7.1,21.0,124.0,13.7,Normal,101,5.0,23,2
167,Kedah,F,Rural,7.0,21.0,121.0,14.3,Normal,88,5.1,32,1
168,Kedah,F,Urban,7.1,18.9,121.0,12.9,Normal,75,5.1,29,4
169,Kedah,F,Urban,7.0,18.5,116.0,13.7,Normal,95,5.2,30,1
170,Kedah,F,Rural,7.1,16.4,111.0,13.3,Normal,83,5.2,28,3
171,Kedah,F,Rural,7.1,19.0,123.0,12.6,Thinness,80,4.5,26,1
172,Kedah,F,Rural,7.0,19.0,109.0,16.0,Normal,72,4.7,26,2
173,Kedah,F,Urban,7.1,17.0,113.0,13.3,Normal,96,5.2,21,3
174,Kedah,F,Rural,7.0,14.0,107.0,12.2,Thinness,86,4.9,16,4
175,Kedah,F,Rural,7.1,26.0,124.7,16.7,Normal,89,5.5,28,1
176,Kedah,F,Urban,7.0,19.6,121.0,13.4,Normal,75,5.7,26,7
177,Kedah,F,Rural,7.1,30.0,127.0,18.6,Overweight,86,5.8,33,1
178,Kedah,F,Rural,7.1,28.0,120.0,19.4,Overweight,73,5.8,26,6
179,Kedah,F,Rural,7.0,23.6,122.0,15.9,Normal,83,5.3,25,2
180,Kedah,F,Urban,7.0,33.0,122.0,22.2,Obesity,72,6.0,27,4
181,Kedah,F,Rural,7.1,29.1,117.0,21.3,Obesity,87,5.9,28,1
182,Kedah,F,Rural,7.1,20.0,121.5,13.5,Normal,98,6.0,21,2
183,Kedah,F,Rural,7.1,19.0,112.0,15.1,Normal,95,5.6,21,1
184,Kedah,F,Rural,7.1,18.0,111.5,14.5,Normal,78,6.1,25,4
185,Kedah,F,Urban,7.1,18.0,120.0,12.5,Thinness,90,5.6,15,2
186,Kedah,F,Urban,7.0,24.8,123.0,16.4,Normal,70,5.7,16,6
187,Kedah,F,Rural,7.1,29.4,122.0,19.8,Obesity,70,6.9,24,1
188,Kedah,F,Urban,7.1,19.9,121.0,13.6,Normal,64,5.7,13,1
189,Kedah,F,Urban,7.0,23.0,118.8,16.3,Normal,77,6.0,17,1
190,Kelantan,F,Rural,7.0,20.0,121.0,13.7,Normal,106,4.3,31,8
191,Kelantan,F,Rural,7.0,16.5,110.0,13.6,Normal,98,5.0,31,8
192,Kelantan,F,Urban,7.1,30.0,115.3,22.6,Obesity,109,5.2,34,5
193,Kelantan,F,Rural,7.0,23.6,118.0,16.9,Normal,111,5.2,30,6
194,Kelantan,F,Urban,7.0,28.0,123.0,18.5,Overweight,107,5.8,33,10
195,Kelantan,F,Rural,7.1,32.0,126.0,20.2,Obesity,103,5.3,29,9
196,Kelantan,F,Urban,7.0,18.0,115.0,13.6,Normal,123,5.3,27,7
197,Kelantan,F,Rural,7.0,17.0,118.0,12.2,Thinness,95,4.9,27,8
198,Kelantan,F,Rural,7.0,16.0,104.0,14.8,Normal,101,5.5,28,10
199,Kelantan,F,Rural,7.1,23.9,122.0,16.1,Normal,106,4.8,29,2
200,Kelantan,F,Rural,7.0,21.0,118.0,15.1,Normal,101,5.0,30,3
201,Kelantan,F,Urban,7.1,20.0,118.0,14.4,Normal,94,5.6,37,5
202,Kelantan,F,Rural,7.0,21.4,122.0,14.4,Normal,95,5.0,29,4
203,Kelantan,F,Urban,7.0,20.0,118.0,14.4,Normal,135,4.9,25,2
204,Kelantan,F,Rural,7.0,17.0,111.5,13.7,Normal,88,5.1,28,6
205,Kelantan,F,Rural,7.1,22.2,117.0,16.2,Normal,95,5.0,29,2
206,Kelantan,F,Rural,7.0,23.3,120.5,16.0,Normal,91,5.6,33,3
207,Kelantan,F,Urban,7.0,18.4,114.0,14.2,Normal,107,5.6,35,1
208,Kelantan,F,Rural,7.0,21.0,114.5,16.0,Normal,102,5.4,28,2
209,Kelantan,F,Urban,7.0,19.6,113.2,15.3,Normal,106,5.2,25,2
210,Kelantan,F,Rural,7.1,23.8,120.0,16.5,Normal,92,5.4,27,4
211,Kelantan,F,Urban,7.0,14.9,105.0,13.5,Normal,118,6.1,25,5
212,Kelantan,F,Rural,7.1,24.0,120.0,16.7,Normal,90,4.4,25,1
213,Kelantan,F,Urban,7.1,17.6,113.3,13.7,Normal,89,5.4,30,1
214,Kelantan,F,Rural,7.1,28.0,118.0,20.1,Obesity,98,4.7,19,1
215,Kelantan,F,Rural,7.1,19.0,119.0,13.4,Normal,77,4.5,27,1
216,Kelantan,F,Rural,7.1,20.1,115.0,15.2,Normal,68,4.8,27,3
217,Kelantan,F,Rural,7.0,19.0,121.5,12.9,Normal,84,5.2,26,3
218,Kelantan,F,Urban,7.0,29.0,118.0,20.8,Obesity,90,6.1,25,7
219,Kelantan,F,Rural,7.0,19.0,117.0,13.9,Normal,89,4.9,26,1
220,Kelantan,F,Rural,7.1,23.0,121.5,15.6,Normal,90,5.6,29,1
221,Kelantan,F,Rural,7.1,29.0,119.5,20.3,Obesity,85,5.8,32,1
222,Kelantan,F,Rural,7.0,17.3,115.0,13.1,Normal,105,5.3,24,1
223,Kelantan,F,Urban,7.0,22.0,117.5,15.9,Normal,86,5.9,27,4
224,Kelantan,F,Urban,7.1,24.6,120.0,17.1,Normal,71,5.5,32,1
225,Kelantan,F,Rural,7.1,16.0,118.5,11.4,Severe thinness,77,5.6,32,1
226,Kelantan,F,Urban,7.1,17.8,114.0,13.7,Normal,89,5.3,19,4
227,Kelantan,F,Rural,7.1,15.0,110.5,12.3,Thinness,86,5.8,30,1
228,Kelantan,F,Rural,7.1,18.9,114.5,14.4,Normal,75,5.4,29,2
229,Kelantan,F,Rural,7.1,33.1,127.0,20.5,Obesity,80,5.9,25,7
230,Kelantan,F,Urban,7.1,19.0,117.5,13.8,Normal,76,6.0,29,4
231,Kelantan,F,Rural,7.0,19.0,115.0,14.4,Normal,68,5.3,25,5
232,Kelantan,F,Rural,7.0,17.0,112.0,13.6,Normal,80,5.5,27,2
233,Kelantan,F,Urban,7.1,20.6,114.1,15.8,Normal,89,5.5,28,1
234,Kelantan,F,Rural,7.0,27.8,126.5,17.4,Overweight,68,5.3,22,6
235,Kelantan,F,Urban,7.0,21.0,115.0,15.9,Normal,83,5.0,23,1
236,Kelantan,F,Urban,7.0,20.8,121.3,14.1,Normal,90,5.4,26,1
237,Kelantan,F,Rural,7.0,26.0,130.0,15.4,Normal,81,5.1,21,2
238,Kelantan,F,Rural,7.1,21.1,120.0,14.7,Normal,67,6.0,29,2
239,Kelantan,F,Rural,7.1,20.0,121.0,13.7,Normal,80,9.0,26,4
240,Kelantan,F,Rural,7.1,20.3,117.0,14.8,Normal,77,5.6,23,3
241,Kelantan,F,Urban,7.0,22.0,123.0,14.5,Normal,88,5.7,25,1
242,Kelantan,F,Urban,7.1,22.0,121.0,15.0,Normal,89,5.7,24,1
243,Kelantan,F,Rural,7.1,20.8,117.0,15.2,Normal,66,5.1,25,1
244,Kelantan,F,Rural,7.1,15.0,110.0,12.4,Thinness,84,6.4,26,1
245,Kelantan,F,Rural,7.1,25.0,125.0,16.0,Normal,89,6.4,22,1
246,Kelantan,F,Rural,7.1,16.4,117.5,11.9,Thinness,70,6.3,27,1
247,Kelantan,F,Urban,7.0,34.0,135.0,18.7,Overweight,63,6.3,26,1
248,Kelantan,F,Urban,7.1,17.0,117.0,12.4,Thinness,61,10.0,27,1
249,Kelantan,F,Rural,7.0,18.0,110.0,14.9,Normal,74,6.1,23,1
250,Kelantan,F,Urban,7.1,19.0,115.0,14.4,Normal,56,6.9,22,1
251,Kuala Lumpur,F,Urban,7.1,19.8,116.2,14.7,Normal,120,4.2,32,7
252,Kuala Lumpur,F,Urban,7.1,17.9,111.5,14.4,Normal,117,4.4,29,7
253,Kuala Lumpur,F,Urban,7.0,17.5,116.0,13.0,Normal,127,4.5,28,4
254,Kuala Lumpur,F,Urban,7.1,40.0,131.0,23.3,Obesity,100,5.1,37,5
255,Kuala Lumpur,F,Urban,7.0,21.1,120.7,14.5,Normal,100,5.1,32,7
256,Kuala Lumpur,F,Urban,7.0,24.0,124.5,15.5,Normal,102,5.9,41,10
257,Kuala Lumpur,F,Urban,7.1,18.0,119.0,12.7,Normal,99,5.1,31,7
258,Kuala Lumpur,F,Urban,7.1,17.2,112.0,13.7,Normal,112,4.5,28,2
259,Kuala Lumpur,F,Urban,7.0,18.8,116.0,14.0,Normal,115,5.0,31,2
260,Kuala Lumpur,F,Urban,7.0,26.6,127.0,16.5,Normal,103,5.1,28,5
261,Kuala Lumpur,F,Urban,7.0,22.9,119.0,16.2,Normal,102,4.6,24,4
262,Kuala Lumpur,F,Urban,7.1,16.5,110.0,13.6,Normal,99,5.0,30,2
263,Kuala Lumpur,F,Urban,7.1,18.8,119.0,13.3,Normal,111,5.2,18,8
264,Kuala Lumpur,F,Urban,7.0,17.9,105.0,16.2,Normal,88,5.1,29,5
265,Kuala Lumpur,F,Urban,7.1,23.4,125.0,15.0,Normal,86,5.2,30,5
266,Kuala Lumpur,F,Urban,7.1,19.8,115.0,15.0,Normal,82,5.2,36,3
267,Kuala Lumpur,F,Urban,7.0,29.1,123.0,19.2,Overweight,85,5.0,28,5
268,Kuala Lumpur,F,Urban,7.0,23.0,120.0,16.0,Normal,92,4.9,25,5
269,Kuala Lumpur,F,Urban,7.0,20.3,105.0,18.4,Overweight,107,5.1,29,1
270,Kuala Lumpur,F,Urban,7.1,24.0,122.0,16.1,Normal,92,5.8,28,8
271,Kuala Lumpur,F,Urban,7.1,24.8,127.3,15.3,Normal,101,5.6,27,5
272,Kuala Lumpur,F,Urban,7.1,21.4,115.5,16.0,Normal,83,4.5,28,1
273,Kuala Lumpur,F,Urban,7.0,23.8,124.0,15.5,Normal,101,5.1,27,1
274,Kuala Lumpur,F,Urban,7.1,27.0,137.0,14.4,Normal,91,4.6,23,3
275,Kuala Lumpur,F,Urban,7.0,17.1,114.5,13.0,Normal,102,5.1,25,1
276,Kuala Lumpur,F,Urban,7.1,20.7,121.0,14.1,Normal,98,5.2,29,1
277,Kuala Lumpur,F,Urban,7.1,25.9,119.0,18.3,Overweight,88,5.9,29,5
278,Kuala Lumpur,F,Urban,7.0,19.8,115.0,15.0,Normal,75,5.6,36,2
279,Kuala Lumpur,F,Urban,7.0,22.8,119.0,16.1,Normal,75,5.7,26,8
280,Kuala Lumpur,F,Urban,7.1,23.2,120.0,16.1,Normal,85,5.3,29,1
281,Kuala Lumpur,F,Urban,7.1,21.8,118.0,15.7,Normal,85,5.6,33,1
282,Kuala Lumpur,F,Urban,7.0,21.6,117.0,15.8,Normal,86,5.3,24,3
283,Kuala Lumpur,F,Urban,7.1,18.0,117.0,13.1,Normal,93,6.0,31,1
284,Kuala Lumpur,F,Urban,7.1,25.0,132.0,14.3,Normal,87,6.2,18,10
285,Kuala Lumpur,F,Urban,7.0,22.1,116.0,16.4,Normal,76,6.5,31,3
286,Kuala Lumpur,F,Urban,7.1,20.0,126.0,12.6,Thinness,96,5.7,18,4
287,Kuala Lumpur,F,Urban,7.1,22.5,125.0,14.4,Normal,112,5.7,23,1
288,Kuala Lumpur,F,Urban,7.0,21.5,124.0,14.0,Normal,94,5.7,19,4
289,Kuala Lumpur,F,Urban,7.1,17.4,117.0,12.7,Normal,92,5.8,20,4
290,Kuala Lumpur,F,Urban,7.1,21.0,116.0,15.6,Normal,80,5.7,25,4
291,Kuala Lumpur,F,Urban,7.1,19.5,110.0,16.1,Normal,90,5.6,23,2
292,Kuala Lumpur,F,Urban,7.0,23.5,121.0,16.1,Normal,77,6.0,24,6
293,Kuala Lumpur,F,Urban,7.1,21.7,118.0,15.6,Normal,77,5.7,23,4
294,Kuala Lumpur,F,Urban,7.1,17.2,110.0,14.2,Normal,75,5.5,28,1
295,Kuala Lumpur,F,Urban,7.1,22.7,114.5,17.3,Overweight,74,5.9,27,1
296,Kuala Lumpur,F,Urban,7.1,22.4,121.4,15.2,Normal,75,5.3,22,1
297,Kuala Lumpur,F,Urban,7.1,17.4,107.0,15.2,Normal,69,6.5,26,2
298,Labuan,F,Urban,7.1,27.1,123.0,17.9,Overweight,100,4.7,27,2
299,Labuan,F,Urban,7.0,20.5,123.2,13.5,Normal,85,5.5,28,2
300,Labuan,F,Urban,7.0,16.2,119.0,11.4,Severe thinness,66,6.0,17,4
301,Melaka,F,Rural,7.1,37.7,112.0,30.1,Obesity,100,4.5,40,6
302,Melaka,F,Rural,7.1,21.0,124.0,13.7,Normal,110,5.1,31,8
303,Melaka,F,Urban,7.1,19.0,113.0,14.9,Normal,110,4.8,29,6
304,Melaka,F,Rural,7.1,18.4,119.3,12.9,Normal,100,4.1,33,2
305,Melaka,F,Rural,7.0,19.1,117.4,13.9,Normal,98,5.1,28,8
306,Melaka,F,Rural,7.1,19.0,119.0,13.4,Normal,97,5.0,30,4
307,Melaka,F,Urban,7.1,22.0,123.4,14.4,Normal,102,5.2,31,3
308,Melaka,F,Rural,7.0,28.0,121.5,19.0,Overweight,95,6.1,29,8
309,Melaka,F,Rural,7.1,19.0,115.0,14.4,Normal,102,4.3,26,1
310,Melaka,F,Rural,7.1,20.0,118.0,14.4,Normal,90,4.8,29,2
311,Melaka,F,Urban,7.0,22.0,119.0,15.5,Normal,84,6.1,37,5
312,Melaka,F,Rural,7.0,20.0,120.0,13.9,Normal,96,4.9,28,1
313,Melaka,F,Rural,7.1,18.0,113.0,14.1,Normal,94,4.9,20,5
314,Melaka,F,Rural,7.0,20.0,115.0,15.1,Normal,88,4.5,28,1
315,Melaka,F,Rural,7.1,21.0,117.0,15.3,Normal,99,5.0,26,1
316,Melaka,F,Urban,7.1,21.6,117.0,15.8,Normal,98,5.4,21,6
